device_id,user_id,device_type,os,device_city
D300000,U104299,Android Phone,Android 11,Hyderabad
D300001,U104723,Mac,iOS 15,Kolkata
D300002,U104089,Android Phone,Windows 11,Lucknow
D300003,U100516,iPhone,MacOS 12,Jaipur
D300004,U104194,Android Phone,MacOS 10.15,Kolkata
D300005,U101334,Android Phone,Android 12,Hyderabad
D300006,U100055,Android Phone,MacOS 12,Pune
D300007,U104604,iPhone,MacOS 12,Bangalore
D300008,U101338,Windows PC,iOS 14,Pune
D300009,U103292,Tablet,Android 11,Delhi
D300010,U100368,iPhone,Windows 11,Lucknow
D300011,U100947,iPhone,Android 10,Lucknow
D300012,U104403,iPhone,iOS 12,Jaipur
D300013,U102960,Android Phone,iOS 14,Bangalore
D300014,U104993,Windows PC,MacOS 10.15,Ahmedabad
D300015,U100901,iPhone,MacOS 12,Hyderabad
D300016,U104453,iPhone,Windows 11,Lucknow
D300017,U104372,Android Phone,iOS 13,Delhi
D300018,U104620,Android Phone,Android 10,Chennai
D300019,U100249,Android Phone,Windows 11,Delhi
D300020,U100522,Mac,MacOS 10.15,Lucknow
D300021,U102648,iPhone,iOS 13,Mumbai
D300022,U100578,iPhone,iOS 14,Delhi
D300023,U100317,Android Phone,MacOS 10.15,Mumbai
D300024,U104056,iPhone,Android 10,Lucknow
D300025,U103475,Android Phone,Windows 11,Hyderabad
D300026,U104220,Android Phone,iOS 14,Mumbai
D300027,U104678,iPhone,Windows 10,Chennai
D300028,U100712,Android Phone,Android 11,Kolkata
D300029,U104155,Android Phone,iOS 15,Jaipur
D300030,U100218,Android Phone,Android 12,Bangalore
D300031,U101858,Android Phone,iOS 14,Mumbai
D300032,U101487,Mac,iOS 14,Ahmedabad
D300033,U101184,Windows PC,MacOS 12,Kolkata
D300034,U103592,Tablet,Windows 10,Mumbai
D300035,U100605,Tablet,iOS 14,Kolkata
D300036,U104045,Android Phone,iOS 12,Kolkata
D300037,U104368,Android Phone,iOS 12,Bangalore
D300038,U103328,iPhone,iOS 15,Bangalore
D300039,U100405,Android Phone,MacOS 10.15,Delhi
D300040,U102983,Tablet,iOS 14,Jaipur
D300041,U103144,Android Phone,iOS 15,Delhi
D300042,U101865,iPhone,Android 12,Hyderabad
D300043,U101836,iPhone,iOS 14,Delhi
D300044,U102345,Mac,iOS 14,Jaipur
D300045,U104978,iPhone,Windows 10,Chennai
D300046,U100018,iPhone,Android 12,Lucknow
D300047,U102544,Android Phone,iOS 12,Delhi
D300048,U101584,iPhone,iOS 12,Chennai
D300049,U102743,iPhone,iOS 13,Chennai
D300050,U100019,iPhone,Android 12,Delhi
D300051,U104589,iPhone,Android 11,Kolkata
D300052,U102284,Android Phone,iOS 14,Kolkata
D300053,U104848,Android Phone,MacOS 10.15,Kolkata
D300054,U100771,Mac,Android 9,Hyderabad
D300055,U102918,Android Phone,iOS 15,Mumbai
D300056,U103399,iPhone,Windows 11,Bangalore
D300057,U103980,iPhone,Windows 11,Kolkata
D300058,U100045,Mac,MacOS 10.15,Pune
D300059,U103173,Android Phone,Android 12,Chennai
D300060,U100739,Android Phone,Android 10,Kolkata
D300061,U102137,Windows PC,MacOS 12,Lucknow
D300062,U100266,iPhone,Windows 10,Pune
D300063,U100286,iPhone,iOS 12,Delhi
D300064,U103831,Android Phone,MacOS 10.15,Chennai
D300065,U103588,Android Phone,iOS 12,Delhi
D300066,U104476,Mac,Windows 10,Jaipur
D300067,U103501,iPhone,MacOS 12,Jaipur
D300068,U102979,Mac,Windows 11,Kolkata
D300069,U100583,Tablet,iOS 15,Bangalore
D300070,U103825,iPhone,Android 11,Ahmedabad
D300071,U101150,iPhone,MacOS 12,Mumbai
D300072,U100533,iPhone,iOS 13,Ahmedabad
D300073,U103660,Windows PC,iOS 15,Jaipur
D300074,U102940,iPhone,iOS 15,Mumbai
D300075,U100748,Android Phone,Android 11,Hyderabad
D300076,U102746,Mac,iOS 15,Mumbai
D300077,U103454,iPhone,iOS 12,Pune
D300078,U102494,Windows PC,iOS 12,Pune
D300079,U103589,Android Phone,MacOS 10.15,Delhi
D300080,U102522,Android Phone,Windows 10,Lucknow
D300081,U101766,iPhone,iOS 13,Bangalore
D300082,U101117,iPhone,Android 9,Kolkata
D300083,U101290,Android Phone,Windows 10,Bangalore
D300084,U104045,Android Phone,Windows 10,Lucknow
D300085,U101865,iPhone,Android 10,Ahmedabad
D300086,U103580,Tablet,Windows 11,Lucknow
D300087,U101795,Android Phone,iOS 12,Chennai
D300088,U102627,Android Phone,Windows 10,Hyderabad
D300089,U103035,Android Phone,MacOS 10.15,Hyderabad
D300090,U102388,Android Phone,Windows 10,Bangalore
D300091,U103719,Android Phone,MacOS 12,Lucknow
D300092,U104620,iPhone,Android 9,Jaipur
D300093,U104308,iPhone,Android 12,Lucknow
D300094,U104607,Android Phone,Android 9,Kolkata
D300095,U100149,Android Phone,Android 11,Mumbai
D300096,U103796,Tablet,iOS 12,Mumbai
D300097,U103632,Android Phone,Android 9,Hyderabad
D300098,U102062,iPhone,iOS 12,Jaipur
D300099,U101570,Android Phone,Android 10,Pune
D300100,U100265,Windows PC,Android 10,Ahmedabad
D300101,U104193,Windows PC,MacOS 10.15,Ahmedabad
D300102,U104200,Android Phone,Windows 10,Jaipur
D300103,U100378,iPhone,iOS 13,Lucknow
D300104,U102910,iPhone,iOS 14,Chennai
D300105,U102755,Android Phone,Android 12,Ahmedabad
D300106,U100862,iPhone,iOS 13,Bangalore
D300107,U102743,Android Phone,Windows 11,Pune
D300108,U104058,Android Phone,iOS 14,Delhi
D300109,U101632,Tablet,Windows 11,Delhi
D300110,U103628,Android Phone,iOS 13,Mumbai
D300111,U104851,Android Phone,iOS 12,Hyderabad
D300112,U102273,Android Phone,MacOS 10.15,Lucknow
D300113,U100534,Tablet,MacOS 10.15,Hyderabad
D300114,U101486,Android Phone,Android 11,Hyderabad
D300115,U100681,Android Phone,iOS 13,Pune
D300116,U101763,iPhone,Windows 11,Jaipur
D300117,U103221,iPhone,Android 12,Hyderabad
D300118,U101013,iPhone,Windows 10,Ahmedabad
D300119,U102571,Tablet,MacOS 10.15,Kolkata
D300120,U104990,Android Phone,Android 11,Lucknow
D300121,U101322,iPhone,Android 10,Kolkata
D300122,U104399,iPhone,MacOS 12,Jaipur
D300123,U101521,Android Phone,MacOS 12,Lucknow
D300124,U103070,Mac,MacOS 10.15,Jaipur
D300125,U100785,iPhone,iOS 15,Chennai
D300126,U101340,Android Phone,Android 10,Chennai
D300127,U104338,Android Phone,MacOS 10.15,Ahmedabad
D300128,U102948,Android Phone,Android 11,Lucknow
D300129,U102847,Mac,Android 11,Pune
D300130,U102553,Android Phone,Windows 10,Ahmedabad
D300131,U101224,Mac,iOS 12,Kolkata
D300132,U104645,Android Phone,MacOS 10.15,Jaipur
D300133,U101967,Tablet,MacOS 10.15,Kolkata
D300134,U100057,Windows PC,Windows 11,Pune
D300135,U104533,Android Phone,MacOS 10.15,Hyderabad
D300136,U100232,Android Phone,iOS 14,Jaipur
D300137,U104434,Windows PC,MacOS 10.15,Ahmedabad
D300138,U101330,Android Phone,MacOS 10.15,Jaipur
D300139,U100345,Android Phone,Android 12,Mumbai
D300140,U101102,Windows PC,iOS 13,Bangalore
D300141,U103270,Mac,iOS 15,Lucknow
D300142,U102728,iPhone,MacOS 10.15,Mumbai
D300143,U100764,Mac,iOS 12,Ahmedabad
D300144,U101500,iPhone,Android 12,Pune
D300145,U101054,iPhone,Android 12,Chennai
D300146,U103266,Android Phone,Windows 11,Delhi
D300147,U104321,iPhone,iOS 14,Delhi
D300148,U101275,iPhone,Android 12,Jaipur
