user_id,age,gender,registration_date,avg_monthly_spend
U100000,22,M,2023-09-21,500.0
U100001,58,F,2022-08-03,24043.82
U100002,52,F,2022-05-29,24461.8
U100003,40,F,2021-12-22,11205.07
U100004,40,M,2022-05-26,19170.21
U100005,62,M,2023-06-03,13263.21
U100006,22,F,2022-12-12,16935.27
U100007,54,F,2022-09-28,5821.92
U100008,28,F,2021-04-22,19979.94
U100009,22,F,2022-07-04,1870.52
U100010,45,M,2022-03-27,500.0
U100011,68,M,2021-12-19,14024.57
U100012,56,M,2022-12-16,13310.05
U100013,57,M,2021-05-11,17178.41
U100014,55,M,2022-02-16,9803.94
U100015,58,F,2021-09-01,30085.53
U100016,44,M,2021-12-06,16284.84
U100017,24,M,2022-04-09,16863.05
U100018,61,F,2023-11-03,16577.87
U100019,41,M,2022-05-15,23023.28
U100020,44,M,2023-07-30,19608.14
U100021,37,F,2022-04-26,18536.14
U100022,27,M,2022-01-21,20887.87
U100023,66,F,2022-06-22,500.0
U100024,58,F,2023-02-06,705.22
U100025,51,M,2023-10-06,14391.53
U100026,38,F,2022-02-20,13418.61
U100027,60,F,2022-01-24,19638.48
U100028,46,F,2022-08-26,15160.14
U100029,41,F,2022-01-07,19654.92
U100030,41,F,2021-11-07,5035.24
U100031,29,F,2022-07-23,14914.04
U100032,22,F,2023-10-17,4271.55
U100033,46,M,2021-08-10,18094.86
U100034,64,F,2022-09-06,500.0
U100035,21,F,2022-02-18,17786.48
U100036,62,F,2021-07-02,3248.0
U100037,61,M,2022-12-16,11931.78
U100038,32,M,2022-04-08,22159.42
U100039,50,F,2023-11-13,16819.04
U100040,26,F,2021-07-27,1834.72
U100041,57,M,2023-10-06,9620.85
U100042,54,M,2022-06-26,2988.97
U100043,36,M,2022-12-26,1441.93
U100044,21,F,2023-10-29,15941.31
U100045,68,M,2022-09-10,19482.39
U100046,41,O,2021-06-08,18524.85
U100047,64,M,2023-06-24,19821.01
U100048,53,M,2023-02-22,14904.71
U100049,58,M,2023-06-02,12812.88
U100050,57,F,2023-08-03,6415.45
U100051,28,F,2023-04-23,11479.36
U100052,36,F,2022-05-27,4429.21
U100053,42,F,2021-11-05,8238.68
U100054,43,M,2022-02-01,15711.41
U100055,20,F,2021-11-14,14057.55
U100056,46,M,2022-01-07,39517.82
U100057,26,M,2022-11-26,4233.64
U100058,56,M,2021-07-12,13999.21
U100059,53,M,2023-06-18,3610.14
U100060,65,F,2022-01-23,11897.71
U100061,56,F,2023-08-17,12223.25
U100062,37,F,2021-11-20,21759.04
U100063,68,F,2023-09-09,11402.67
U100064,39,F,2023-05-07,13469.44
U100065,34,M,2022-11-18,11557.46
U100066,65,M,2022-01-28,3791.59
U100067,37,M,2023-10-19,9783.18
U100068,21,F,2023-03-28,11944.51
U100069,42,O,2023-01-13,15590.61
U100070,59,M,2021-12-23,19471.58
U100071,27,F,2021-05-14,13123.23
U100072,42,F,2022-04-16,12982.59
U100073,24,F,2022-07-28,1233.49
U100074,53,F,2023-01-10,19317.88
U100075,42,F,2021-09-26,9432.82
U100076,35,F,2023-08-20,20976.99
U100077,29,F,2023-07-30,25531.52
U100078,47,M,2023-05-21,13496.68
U100079,52,F,2023-03-17,6813.51
U100080,66,M,2022-09-11,14866.41
U100081,40,F,2021-05-28,17789.62
U100082,26,M,2022-03-12,12475.84
U100083,61,M,2022-11-25,10487.69
U100084,50,M,2023-05-11,19508.26
U100085,54,M,2022-03-14,18980.63
U100086,23,M,2023-04-01,12229.68
U100087,34,M,2021-04-30,1767.47
U100088,57,M,2022-08-26,18651.03
U100089,61,M,2022-06-16,8861.38
U100090,40,F,2021-07-09,16714.73
U100091,59,F,2023-02-09,16209.26
U100092,61,F,2022-09-01,500.0
U100093,38,M,2022-07-05,15648.65
U100094,64,M,2023-03-15,19116.26
U100095,32,F,2023-10-11,20097.22
U100096,30,M,2023-03-02,15938.93
U100097,53,M,2023-08-16,500.0
U100098,51,F,2022-02-15,25216.65
U100099,25,F,2023-11-26,18288.18
U100100,61,M,2023-01-30,5373.45
U100101,28,F,2021-07-28,8697.9
U100102,59,M,2022-05-30,16849.79
U100103,18,F,2022-02-19,20438.27
U100104,59,M,2022-02-22,11096.3
U100105,58,M,2023-02-16,21604.2
U100106,58,F,2022-03-29,657.87
U100107,52,M,2023-05-02,6660.33
U100108,42,F,2022-03-26,500.0
U100109,54,M,2022-02-08,7820.76
U100110,32,F,2021-08-05,27064.62
U100111,58,F,2021-06-24,31462.42
U100112,46,F,2023-11-09,16876.72
U100113,41,F,2023-02-15,9892.57
U100114,44,M,2022-06-20,13226.88
U100115,47,F,2023-01-25,18786.72
U100116,19,M,2022-04-11,2496.15
U100117,25,F,2021-08-26,10420.01
U100118,30,F,2023-03-27,26479.14
U100119,23,F,2021-07-19,6634.32
U100120,40,F,2021-07-30,9007.8
U100121,52,F,2021-06-29,15105.55
U100122,52,M,2023-09-22,17265.14
U100123,42,F,2023-02-21,9999.97
U100124,62,F,2023-08-04,15615.72
U100125,47,M,2023-08-08,19863.52
U100126,22,F,2023-10-12,30691.61
U100127,57,M,2022-10-02,13990.04
U100128,47,M,2023-09-09,14669.62
U100129,51,M,2023-02-19,27219.62
U100130,47,M,2021-04-25,10606.67
U100131,46,F,2021-07-28,4405.18
U100132,22,F,2021-06-07,17001.99
U100133,47,F,2023-10-28,23609.4
U100134,59,F,2022-03-01,17888.38
U100135,33,M,2022-03-28,14223.87
U100136,49,M,2023-07-27,3412.85
U100137,19,M,2021-07-07,14533.05
U100138,36,F,2022-11-05,24865.24
U100139,40,M,2021-04-29,5127.06
U100140,69,F,2023-08-14,13042.02
U100141,29,F,2022-03-12,11900.12
U100142,32,F,2023-07-29,9418.36
U100143,39,F,2021-05-25,16983.38
U100144,69,M,2022-04-22,18546.44
U100145,62,F,2023-09-20,18462.62
U100146,19,F,2023-05-08,7185.52
U100147,30,F,2022-12-19,1832.13
U100148,60,F,2023-11-20,17099.11
U100149,21,F,2023-11-24,10952.65
U100150,62,O,2021-06-18,29706.5
U100151,32,M,2021-04-25,30076.08
U100152,65,F,2022-06-30,30925.52
U100153,33,F,2021-07-10,7479.11
U100154,40,M,2022-03-07,19554.95
U100155,52,F,2023-11-05,21967.62
U100156,24,M,2022-01-08,21066.83
U100157,46,F,2023-11-15,12164.82
U100158,44,M,2021-10-01,25233.32
U100159,58,M,2022-12-12,15003.8
U100160,69,F,2023-07-18,16024.85
U100161,52,M,2023-03-27,2697.33
U100162,39,M,2022-02-08,20158.12
U100163,39,M,2021-09-02,12916.71
U100164,39,F,2022-05-28,18718.23
U100165,60,F,2023-06-30,16880.91
U100166,34,F,2021-07-12,16447.49
U100167,26,M,2021-10-27,14634.29
U100168,35,F,2022-10-31,21292.8
U100169,19,M,2022-06-13,13408.86
U100170,23,F,2021-05-11,3358.42
U100171,22,M,2022-12-01,19551.64
U100172,58,M,2023-11-07,8527.96
U100173,55,M,2023-07-14,4405.91
U100174,54,F,2022-04-29,6822.05
U100175,42,F,2021-04-09,17266.66
U100176,55,M,2021-12-15,14227.85
U100177,26,F,2022-04-12,500.0
U100178,64,F,2023-01-23,11930.75
U100179,44,M,2022-10-02,24353.85
U100180,66,F,2023-10-26,11389.63
U100181,25,F,2022-12-08,13676.19
U100182,43,M,2022-04-07,23343.93
U100183,54,F,2021-07-07,21363.91
U100184,43,M,2021-06-21,23174.01
U100185,41,F,2021-09-27,500.0
U100186,26,M,2023-11-12,28868.18
U100187,37,F,2021-10-07,20091.2
U100188,30,M,2023-05-04,34691.81
U100189,33,F,2022-04-14,8741.39
U100190,53,F,2021-05-29,892.4
U100191,50,M,2021-07-24,15057.75
U100192,49,F,2022-02-26,12797.02
U100193,36,O,2023-02-15,20229.31
U100194,67,F,2022-07-15,23599.43
U100195,22,M,2022-01-19,14301.65
U100196,35,F,2022-07-22,13074.34
U100197,24,M,2022-11-05,19181.76
U100198,35,M,2022-11-07,12949.37
U100199,68,F,2022-04-30,12280.14
U100200,37,F,2023-10-29,23297.08
U100201,65,F,2021-04-08,25078.22
U100202,43,M,2023-08-25,23671.73
U100203,54,F,2021-04-22,13654.16
U100204,41,F,2023-10-29,500.0
U100205,31,M,2022-07-23,13814.35
U100206,57,F,2022-10-23,8936.16
U100207,68,M,2022-05-25,13962.2
U100208,31,M,2022-10-08,9631.27
U100209,58,F,2021-07-15,14834.08
U100210,31,O,2023-11-16,6685.79
U100211,55,M,2021-04-20,4754.26
U100212,59,M,2022-02-02,24781.53
U100213,41,M,2021-11-07,7242.74
U100214,56,F,2023-07-20,15002.65
U100215,32,M,2023-09-30,22636.12
U100216,22,F,2022-11-12,22314.43
U100217,23,O,2023-01-24,21358.79
U100218,41,M,2021-11-03,17422.93
U100219,64,F,2021-07-16,20792.03
U100220,24,F,2022-10-14,25984.71
U100221,41,F,2021-11-17,18400.18
U100222,54,M,2023-10-06,500.0
U100223,28,M,2021-12-13,10771.73
U100224,55,M,2023-08-28,20570.96
U100225,33,F,2022-02-23,9983.23
U100226,60,F,2022-11-27,27960.85
U100227,48,M,2022-10-26,14494.56
U100228,46,M,2023-03-09,15681.99
U100229,27,F,2022-11-06,23997.95
U100230,42,M,2021-08-06,13537.2
U100231,62,M,2021-10-09,16410.22
U100232,19,F,2023-01-06,22192.99
U100233,57,M,2023-02-21,3221.84
U100234,43,M,2022-07-27,12717.61
U100235,55,M,2022-02-06,21633.23
U100236,52,M,2023-06-09,15524.8
U100237,40,F,2021-12-28,26738.67
U100238,34,F,2021-05-26,2392.61
U100239,50,F,2021-09-04,1479.99
U100240,25,M,2022-06-19,21157.49
U100241,48,F,2023-01-26,21926.46
U100242,22,M,2023-01-23,13454.0
U100243,51,F,2021-12-13,18203.16
U100244,50,M,2022-09-17,20961.66
U100245,22,F,2023-08-21,8489.09
U100246,57,M,2022-02-13,9345.21
U100247,39,M,2023-07-22,16517.81
U100248,58,F,2021-04-19,22232.71
U100249,20,M,2022-10-24,5672.34
U100250,27,M,2023-01-05,13416.42
U100251,43,F,2023-10-10,13046.11
U100252,27,F,2023-06-23,18343.67
U100253,35,M,2021-05-27,14930.41
U100254,52,F,2022-06-29,10632.93
U100255,25,F,2021-07-11,24988.53
U100256,53,F,2021-05-19,10685.94
U100257,23,F,2023-10-16,12663.23
U100258,27,F,2022-11-28,2268.02
U100259,48,F,2021-09-10,9290.99
U100260,59,F,2022-08-09,19128.61
U100261,26,F,2022-07-27,17564.82
U100262,33,M,2022-05-29,19796.14
U100263,66,M,2022-01-21,19407.86
U100264,69,M,2021-06-05,31701.71
U100265,48,F,2021-07-25,9017.13
U100266,41,M,2022-04-05,2044.61
U100267,36,F,2022-05-22,6595.58
U100268,49,F,2022-12-17,9370.79
U100269,48,O,2023-08-12,7205.38
U100270,33,M,2022-01-14,15749.29
U100271,19,F,2023-11-30,25021.24
U100272,25,F,2022-01-24,27317.27
U100273,67,M,2022-08-07,19034.47
U100274,39,F,2021-10-31,32130.18
U100275,43,M,2021-05-26,12149.02
U100276,42,F,2022-06-14,1939.85
U100277,58,F,2022-05-26,23425.42
U100278,21,M,2022-08-17,500.0
U100279,22,M,2022-12-06,8959.98
U100280,32,M,2023-09-07,19160.9
U100281,43,M,2023-11-03,14180.95
U100282,52,F,2021-12-31,13472.38
U100283,43,M,2021-06-28,5553.68
U100284,40,M,2023-10-11,14913.58
U100285,66,F,2023-01-19,23029.3
U100286,26,F,2022-04-22,15159.74
U100287,47,F,2022-01-18,8358.19
U100288,46,F,2021-12-19,5019.69
U100289,42,M,2022-01-28,8523.24
U100290,59,F,2023-09-12,18138.67
U100291,31,M,2023-03-31,17748.82
U100292,67,F,2022-09-03,8595.94
U100293,35,O,2023-10-02,500.0
U100294,46,F,2023-01-04,18360.1
U100295,45,F,2022-11-24,7818.34
U100296,62,F,2021-04-28,20512.5
U100297,40,M,2023-01-29,8951.12
U100298,32,F,2021-05-04,7096.8
U100299,19,F,2022-01-22,16225.38
U100300,36,O,2022-01-30,33861.59
U100301,60,F,2021-09-28,20992.24
U100302,18,M,2021-09-06,16089.75
U100303,64,F,2023-05-01,17870.81
U100304,46,M,2022-10-20,991.07
U100305,25,M,2022-07-08,6021.28
U100306,33,M,2021-04-29,500.0
U100307,46,F,2023-10-24,28838.99
U100308,34,M,2022-08-27,27219.09
U100309,23,M,2023-05-09,18142.55
U100310,52,M,2023-05-16,16080.92
U100311,52,F,2021-11-24,2587.28
U100312,24,F,2023-05-21,13245.6
U100313,32,M,2021-10-24,29339.14
U100314,30,M,2021-04-12,16051.33
U100315,52,F,2021-11-09,10482.83
U100316,55,M,2023-06-21,935.43
U100317,55,F,2023-07-17,26042.45
U100318,66,M,2022-10-04,14439.33
U100319,57,F,2022-06-16,946.13
U100320,34,M,2021-11-08,7605.87
U100321,23,F,2022-10-18,4779.7
U100322,49,M,2023-06-23,13946.05
U100323,65,F,2021-04-15,16658.71
U100324,68,O,2021-07-08,10974.26
U100325,29,F,2022-03-08,21216.37
U100326,30,M,2022-01-27,15630.42
U100327,19,M,2021-06-08,23498.5
U100328,25,F,2022-08-29,12142.45
U100329,46,F,2023-07-15,39362.6
U100330,46,M,2022-04-24,10484.09
U100331,37,M,2022-09-21,7773.36
U100332,34,M,2021-10-18,6789.6
U100333,61,F,2021-11-14,13312.47
U100334,41,F,2022-09-01,1243.71
U100335,60,F,2022-12-11,17356.5
U100336,68,F,2022-10-19,500.0
U100337,34,M,2022-03-29,16293.37
U100338,28,M,2022-03-25,4189.99
U100339,67,M,2022-07-24,11949.65
U100340,51,F,2022-07-05,19836.32
U100341,33,M,2021-04-14,33432.3
U100342,50,M,2023-03-31,6376.0
U100343,44,M,2023-06-17,13797.46
U100344,65,M,2021-10-18,9209.93
U100345,31,F,2021-06-08,8041.04
U100346,69,M,2022-04-21,9280.21
U100347,66,M,2022-11-08,21592.53
U100348,27,F,2022-12-29,11095.55
U100349,26,M,2022-09-05,32994.5
U100350,45,M,2023-10-13,18327.83
U100351,20,M,2022-07-08,6919.91
U100352,33,F,2023-03-16,12066.36
U100353,40,M,2023-03-20,8585.22
U100354,68,F,2022-06-07,21400.55
U100355,69,F,2021-05-12,1889.76
U100356,25,F,2023-05-17,4272.39
U100357,64,M,2021-07-01,10267.63
U100358,22,F,2022-07-17,20463.57
U100359,56,M,2021-05-03,24864.48
U100360,61,M,2022-11-27,26044.34
U100361,64,F,2021-04-09,19238.41
U100362,29,M,2022-03-02,14336.88
U100363,64,M,2022-02-21,21357.01
U100364,24,M,2022-06-04,5844.0
U100365,44,M,2022-09-20,500.0
U100366,42,M,2022-07-11,18493.1
U100367,34,F,2021-08-29,6954.57
U100368,19,F,2021-10-25,14477.55
U100369,58,M,2023-11-09,15957.02
U100370,35,F,2022-01-28,16984.96
U100371,52,M,2021-09-14,22502.33
U100372,39,M,2021-12-11,21656.6
U100373,37,M,2022-08-07,16560.0
U100374,64,M,2023-01-11,11463.88
U100375,22,M,2022-02-17,15862.1
U100376,56,M,2022-02-27,10230.32
U100377,56,M,2022-12-05,13428.57
U100378,37,F,2022-11-03,35945.39
U100379,31,M,2022-12-10,16457.52
U100380,18,M,2023-10-20,18601.96
U100381,66,M,2023-11-02,9356.15
U100382,67,F,2023-09-13,23160.59
U100383,30,M,2022-10-17,21082.18
U100384,19,F,2022-07-25,21138.82
U100385,24,M,2022-11-01,16719.13
U100386,21,M,2021-05-20,23273.52
U100387,61,F,2023-04-28,25173.48
U100388,64,M,2022-11-16,17264.79
U100389,25,M,2023-04-07,14083.1
U100390,56,M,2023-02-15,22156.57
U100391,27,O,2022-05-15,7767.0
U100392,37,F,2023-02-05,9256.32
U100393,49,F,2023-01-28,14573.6
U100394,55,O,2022-02-20,1069.14
U100395,63,M,2021-09-18,21620.76
U100396,20,O,2023-05-10,7296.69
U100397,28,M,2023-08-16,11228.07
U100398,32,F,2023-04-14,13293.76
U100399,34,M,2022-05-21,15314.29
U100400,69,M,2021-05-16,12250.77
U100401,58,F,2023-06-30,14461.03
U100402,34,M,2023-10-22,14522.98
U100403,68,O,2022-07-08,11423.75
U100404,43,M,2021-04-15,8814.44
U100405,44,F,2022-06-15,23651.79
U100406,40,O,2021-06-19,500.0
